halo_index,gamma
000,70852856367238.73
001,89281934603849.03
002,-10279160685420.922
003,129884658976102.27
004,-46035945254436.59
005,81572538221409.03
006,88327426083337.73
007,60426866789289.94
008,126140056585903.88
009,106389414843045.45
010,23862333609959.383
011,104186705525801.36
012,52497175331309.52
013,31938888451633.41
014,-1541893072954.2917
015,84803118768679.77
016,6901682263290.842
017,5506687065195.898
018,63290288877326.625
019,27313209232770.535
020,103232197005290.06
021,304116541241158.94
022,9618344441131.121
023,83187862986210.14
024,57563341227756.04
025,-10058900101046.232
026,95963356282765.19
027,106536209244407.6
028,54259328988638.5
029,37225280441288.89
030,76506372324962.52
031,42878796399012.664
032,-19457018448968.4
033,116448280452925.95
034,97505249355719.47
035,78121662598597.89
036,21879919368255.71
037,83995473631862.1
038,73936608021981.6
039,37004985365748.46
040,78709047151040.88
041,63951105121616.43
042,41924356860832.836
043,2129312116563.019
044,-954474029345.5645
045,285540616866437.9
046,117182562880228.3
047,26065008436037.742
048,60720490083179.97
049,5506721556361.632
050,8076485859342.5625
051,131206222482350.4
052,99854787565491.45
053,42878796399012.664
054,127535120766330.3
055,125038719172864.7
056,36344203612624.4
057,49560287060260.29
058,106976764904322.72
059,122836078837952.08
060,79590158470871.11
061,83261294678056.95
062,102130894083416.61
063,86271614640952.98
064,113144268213808.4
065,52937730991224.63
066,114759592978609.52
067,213513025885478.9
068,117990173525880.25
069,63363720569173.44
070,107270457180544.2
071,119752327183209.22
072,38179788961800.19
073,38913967915605.33
074,17548035899111.535
075,35463126783959.91
076,110060516559065.56
077,156977607624498.12
078,58150725780199.03
079,63363720569173.44
080,158813123991342.44
