halo_index,gamma
0,382448246940.6497
1,747618229981.1628
2,-1806219847575.5718
3,6726208807568.716
4,97379084853.95703
5,746046325872.5499
6,895256743892.024
7,-10209018579.993921
8,832432457570.8938
9,189259675651.42026
10,311769627878.7935
11,402080043835.09
12,549719710590.9154
13,232452741500.5922
14,-1209381634032.5676
15,442131607156.9644
16,749974645087.8771
17,956511431794.4697
18,248158524869.63373
19,430351837313.3217
20,-135859320489.70059
21,416215652362.96484
22,152350767701.80753
23,-259939447558.24057
24,197113431969.66412
25,413075302680.6315
26,813584595252.0728
27,1018551783539.9807
28,588985033647.2423
29,-40050986899.392334
30,572493586435.1354
31,572493010012.6533
32,1280060829516.906
33,186904413389.6702
34,370667900674.5249
35,413074726258.14935
36,989494902641.1656
37,931381717266.0176
38,113085444645.48062
39,278786157032.09753
40,460978893053.3035
41,490035773952.1186
42,2754879252319.2437
43,2836551977381.6772
44,-1091585088441.1049
45,728770944084.8239
46,367526974569.7095
47,816727250624.3344
48,164915624966.03357
