halo_id,mvir
000,14600001000000.0
001,14685715000000.0
002,19500000000000.0
003,25314286000000.0
004,11300000000000.0
005,18114285000000.0
006,12420000000000.0
007,12905715000000.0
008,17157144000000.0
009,13707143000000.0
010,12611429000000.0
011,11551429000000.0
012,15314287000000.0
013,12737143000000.0
014,22157145000000.0
015,13431429000000.0
016,13164287000000.0
017,12721429000000.0
018,12811428000000.0
019,11354286000000.0
020,9262857000000.0
021,16114285000000.0
022,13247143000000.0
023,13718571000000.0
024,13209999000000.0
025,14247144000000.0
026,13647143000000.0
027,14428572000000.0
028,22714287000000.0
029,12784286000000.0
030,12724286000000.0
031,13308572000000.0
032,14742858000000.0
033,12681429000000.0
034,11215715000000.0
035,11501429000000.0
036,12885715000000.0
037,15757143000000.0
038,12788571000000.0
039,10508572000000.0
040,12754286000000.0
041,10690001000000.0
042,17414287000000.0
043,17028572000000.0
044,18528573000000.0
045,13255715000000.0
046,11065715000000.0
047,30800001000000.0
048,10381429000000.0
