halo_id,rvir
000,636.87506
001,638.11896
002,701.3715
003,765.1122
004,584.7399
005,684.348
006,603.4535
007,611.2196
008,672.0758
009,623.6184
010,606.538
011,589.04504
012,647.0962
013,608.54675
014,731.8822
015,619.40875
016,615.27466
017,608.2964
018,609.7275
019,585.6748
020,547.24896
021,658.17334
022,616.5628
023,623.7916
024,615.986
025,631.7024
026,622.70715
027,634.37256
028,737.9659
029,609.29663
030,608.3419
031,617.5144
032,638.94556
033,607.65814
034,583.2825
035,588.1939
036,610.9037
037,653.2746
038,609.3647
039,570.7569
040,608.81964
041,574.0228
042,675.41675
043,670.3928
044,689.5259
045,616.6958
046,580.6705
047,816.80835
048,568.4457
