halo_index,gamma
0,11581999020143.219
1,4906259144488.074
2,42708575338528.695
3,29839719024352.08
4,55255726774991.72
5,47051827332531.09
6,34585116284188.598
7,118313188835020.44
8,42949877611300.78
9,32091747626294.79
10,2412928269773.2793
11,4423692382122.925
12,43191179884072.86
13,5710568567745.834
14,113648250854893.95
15,78419705923688.66
16,129171318820026.42
17,9329932635021.492
18,29357114478807.914
19,207534727806984.4
20,30885292937202.906
21,3860666340047.7397
22,9329932635021.492
23,72628706413617.05
24,68768049519364.055
25,52521093627504.84
26,39571796925207.695
27,127482287922774.64
28,10938532589947.504
29,-643428647016.7008
30,-24129131565016.74
31,40697811226179.055
32,233972203802264.03
