halo_id,mvir
000,419285750000000.0
001,304142870000000.0
002,414857130000000.0
003,303142900000000.0
004,453142870000000.0
005,512285750000000.0
006,509857180000000.0
007,525000000000000.0
008,595285760000000.0
009,393714300000000.0
010,455285730000000.0
011,537714300000000.0
012,567857150000000.0
013,299714300000000.0
014,390285730000000.0
015,578714300000000.0
016,493857150000000.0
017,524714300000000.0
018,443142850000000.0
019,443714280000000.0
020,414571450000000.0
021,418714300000000.0
022,484285700000000.0
023,289857140000000.0
024,334571440000000.0
025,386142860000000.0
026,432142900000000.0
027,396857160000000.0
028,299285700000000.0
029,314571460000000.0
030,267000000000000.0
031,355714300000000.0
032,888857100000000.0
