halo_index,gamma
000,21329111170.95958
001,8167258095.681293
002,2693622258.72687
003,3423963053.415214
004,13240379380.209124
005,1476393605.3138175
006,7703922499.310034
007,1523511639.9226396
008,1814078107.1944568
009,439778830.71716833
010,-2245994174.992099
011,10193369610.265768
012,10774502544.809402
013,9408052521.349718
014,1539214649.2584863
015,1036614774.5966493
016,-2418758800.7908993
017,4067921535.2041583
018,4115039569.81298
019,2300965965.9191647
020,30540831042.604805
021,1704130022.0396838
022,3667415989.3788505
023,1602040196.5037959
024,22122275261.242916
025,1664865743.7491057
026,321981492.54479265
027,6266797675.587436
028,3604590442.1335406
029,3156962358.39877
030,3384703278.425277
031,3298316462.225236
032,282712710.95357335
033,4028657256.9135804
034,8607036926.39846
035,2285258453.282677
036,2583678676.872738
037,3392552531.44288
038,2371647521.133039
