halo_id,cvir
0,5.106204
1,9.638344
2,13.813216
3,17.479078
4,6.1310515
5,12.134863
6,14.343086
7,14.803084
8,14.438684
9,11.639592
10,10.872872
11,7.478614
12,11.84708
13,10.68834
14,13.110182
15,11.967474
16,13.001559
17,11.08809
18,11.4179535
19,13.964383
20,13.7065735
21,13.030478
22,10.521136
23,14.06846
24,7.2723155
25,12.155486
26,14.354772
27,8.550712
28,14.24057
29,15.446879
30,12.610245
31,14.1620655
32,14.682738
33,12.234036
34,12.556385
35,15.139979
36,10.656162
37,12.872585
38,16.759598
