halo_id,mvir
000,95914290000.0
001,98742860000.0
002,97157145000.0
003,107914280000.0
004,113257144000.0
005,99628580000.0
006,91085720000.0
007,107700000000.0
008,111271440000.0
009,91214290000.0
010,102528570000.0
011,124542860000.0
012,119985725000.0
013,115185710000.0
014,93971430000.0
015,104957150000.0
016,110457150000.0
017,107557150000.0
018,107814280000.0
019,105185714000.0
020,108885710000.0
021,87014285000.0
022,110114290000.0
023,89342860000.0
024,112100000000.0
025,101628576000.0
026,119014290000.0
027,109700000000.0
028,78814290000.0
029,97742864000.0
030,96485720000.0
031,109028570000.0
032,96371430000.0
033,102971430000.0
034,119871430000.0
035,104457140000.0
036,114071430000.0
037,107642855000.0
038,55100002000.0
