halo_id,rvir
000,119.2791
001,120.44029
002,119.7921
003,124.05937
004,126.07388
005,120.79934
006,117.242935
007,123.9772
008,125.33273
009,117.29808
010,121.96023
011,130.12964
012,128.52269
013,126.78547
014,118.46822
015,122.91568
016,125.02625
017,123.92237
018,124.021034
019,123.00484
020,124.43052
021,115.46937
022,124.89675
023,116.490326
024,125.64304
025,121.60232
026,128.1749
027,124.73992
028,111.72188
029,120.03234
030,119.51551
031,124.48491
032,119.4683
033,122.13557
034,128.48187
035,122.72018
036,126.37531
037,123.95528
038,99.15634
