halo_index,gamma
000,56071424890.83542
001,17433897970.296207
002,-40600677788.859146
003,26857685024.08626
004,33297332888.184677
005,24737314923.780933
006,74840317329.61256
007,7696032716.58666
008,87405354725.86426
009,24894390050.14581
010,32512029309.17055
011,35496168498.86218
012,118660819050.52092
013,11072931775.000746
014,201982580754.94968
015,13036154696.130938
016,48061205895.11388
017,65259599255.078156
018,67536972428.9381
019,30784347024.777416
020,132796463604.80087
021,52223372506.13696
022,-3926589947.8808985
023,178501686710.0621
024,264964662730.54736
025,47590016542.42438
026,12800614059.393879
027,38951569094.05358
028,218474136046.272
029,58427335627.87781
030,141827598869.08386
031,220830154862.5298
032,61725625070.299194
033,52694525832.42133
034,21674710223.71712
035,22774092002.650745
036,120545648514.08919
037,51359531363.9404
038,20025493449.696167
039,49710386642.7297
040,29527746013.8584
041,-31412503424.61641
042,38480307688.55382
043,99263626106.28427
044,56778118853.85685
