halo_id,delta_J_tot
0,0.17392439151711658
1,0.17599927152607925
2,0.1718954513791378
3,0.11163734000235077
4,0.24399841640890402
5,0.12311452633386995
6,0.1029815192882769
7,0.21135934679620016
8,0.5425190780741311
9,0.11515479616854107
10,0.07305812484335612
11,0.1118124259562668
12,0.5566887010959207
13,0.1759565576660646
14,0.3245159590424489
15,0.08117151259261773
16,0.20166644337215442
17,0.21400364921792453
18,0.3029418525957453
19,0.1597652605601787
20,0.3483776960202756
21,0.12178112311107558
22,0.20322202929590527
23,0.9079579140936895
24,0.9020900642088043
25,0.27530568980586634
26,0.08810744917048872
27,0.09295316734336745
28,0.42014862610419884
29,0.3019982180544709
30,0.6952914091585041
31,0.472133499792309
32,0.232026357902829
33,0.25244017180683337
34,0.16090664703121943
35,0.19351338371641724
36,0.48949522783650196
37,0.19818720853283206
38,0.11569821038177591
39,0.07747964631175007
40,0.11710835960884744
41,0.11679944113033942
42,0.075029356916643
43,0.937329317523151
44,0.29853695109166767
