halo_id,rvir
000,271.9943
001,279.5711
002,279.29053
003,274.2532
004,281.6575
005,274.86792
006,280.19492
007,274.83447
008,275.05737
009,276.94867
010,279.7004
011,272.99283
012,277.3764
013,281.15744
014,291.84167
015,279.2149
016,275.64633
017,276.17758
018,284.2046
019,275.2577
020,271.10306
021,279.86185
022,276.60773
023,287.25922
024,277.02554
025,282.24045
026,281.99695
027,274.35397
028,275.41327
029,282.4835
030,283.09457
031,285.77103
032,285.20245
033,278.28238
034,277.79193
035,278.1082
036,286.97305
037,282.22986
038,274.7787
039,278.28238
040,279.82956
041,278.02103
042,289.92987
043,273.69196
044,282.89468
